400	        0.036565097
410.0386	0.036565097
412.7413	0.043213296
417.95365	0.049861496
421.81465	0.066481994
426.44785	0.104709141
429.92275	0.151246537
431.2741	0.174515235
433.9768	0.222714681
435.1351	0.24432133
436.6795	0.290858726
437.25865	0.312465374
438.80305	0.35900277
439.3822	0.383933518
440.1544	0.408864266
440.73355	0.430470914
441.50575	0.48033241
442.0849	0.500277008
442.8571	0.548476454
442.8571	0.571745152
443.43625	0.619944598
443.43625	0.643213296
444.20845	0.689750693
444.20845	0.713019391
444.7876	0.761218837
445.5598	0.784487535
446.332	        0.832686981
446.91115	0.854293629
446.91115	0.904155125
446.91115	0.925761773
448.2625	0.977285319
449.22775	0.998891967
449.4208	1.010526316
449.99995	1.012188366
450.77215	1.010526316
452.70265	0.993905817
453.6679	0.944044321
453.6679	0.920775623
455.01925	0.872576177
455.01925	0.850969529
456.56365	0.801108033
457.1428	0.779501385
457.915		0.731301939
458.49415	0.708033241
460.03855	0.659833795
460.6177	0.638227147
461.96905	0.590027701
462.5482	0.566759003
463.3204	0.520221607
463.89955	0.496952909
465.2509	0.448753463
465.2509	0.425484765
466.7953	0.378947368
467.37445	0.35567867
469.30495	0.307479224
470.84935	0.282548476
472.77985	0.232686981
474.32425	0.211080332
478.7644	0.169529086
482.04625	0.142936288
487.2586	0.11966759
492.664		0.11966759
497.87635	0.152908587
501.1582	0.181163435
505.0192	0.229362881
506.37055	0.24598338
509.07325	0.289196676
511.1968	0.329085873
513.1273	0.377285319
514.6717	0.398891967
516.6022	0.443767313
517.18135	0.467036011
520.0771	0.523545706
521.42845	0.546814404
523.35895	0.588365651
524.90335	0.611634349
527.60605	0.659833795
528.9574	0.676454294
529.3435	0.683102493
531.274	        0.699722992
534.7489	0.742936288
536.6794	0.754570637
539.57515	0.774515235
542.27785	0.786149584
548.45545	0.791135734
552.8956	0.779501385
558.10795	0.742936288
562.162	        0.71800554
566.21605	0.684764543
568.91875	0.666481994
570.2701	0.658171745
572.39365	0.639889197
576.4477	0.611634349
578.57125	0.593351801
579.9226	0.586703601
581.8531	0.570083102
586.1002	0.531855956
588.60985	0.520221607
590.15425	0.508587258
592.08475	0.496952909
596.911	        0.470360111
599.03455	0.452077562
600.3859	0.443767313
602.3164	0.432132964
607.14265	0.400554017
609.2662	0.390581717
610.0384	0.383933518
612.54805	0.372299169
617.56735	0.349030471
619.49785	0.337396122
620.27005	0.330747922
622.7797	0.330747922
629.7295	0.285872576
630.5017	0.282548476
633.2044	0.272576177
638.03065	0.247645429
642.66385	0.226038781
648.2623	0.207756233
652.8955	0.189473684
657.72175	0.167867036
662.1619	0.154570637
668.14645	0.142936288
672.39355	0.131301939
678.3781	0.11966759
682.6252	0.108033241
688.22365	0.094736842
692.2777	0.089750693
697.87615	0.084764543
700.19275	0.084764543
